"","Pitch_Sequence_01","Pitch_Sequence_02","Pitch_Sequence_03","PA","BBE","Fly_Ball","Ground_Ball","Line_Drive","Pop_Up","Strikeout","Walk","HR","Avg_wOBA","Sum_wOBA"
"143","CB-H-I","CB-L-M","CH-L-M",2,2,0,2,0,0,0,0,0,0,0
"144","CB-H-I","CB-L-M","CH-L-O",7,2,0,2,0,0,3,2,0,0.2,1.4
"145","CB-H-I","CB-L-M","CH-M-I",1,1,1,0,0,0,0,0,1,2,2
"146","CB-H-I","CB-L-M","CH-M-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"147","CB-H-I","CB-L-M","FB-H-I",18,10,0,5,4,1,2,6,0,0.383333333333333,6.9
"148","CB-H-I","CB-L-M","FB-H-M",15,8,2,3,3,0,6,1,0,0.166666666666667,2.5
"149","CB-H-I","CB-L-M","FB-H-O",17,9,4,3,2,0,8,0,0,0.220588235294118,3.75
"150","CB-H-I","CB-L-M","FB-L-I",13,7,1,3,2,1,4,2,0,0.176923076923077,2.3
"151","CB-H-I","CB-L-M","FB-L-M",18,8,1,3,3,1,8,2,0,0.177777777777778,3.2
"152","CB-H-I","CB-L-M","FB-L-O",20,14,5,6,2,1,3,3,0,0.2125,4.25
"153","CB-H-I","CB-L-M","FB-M-I",10,7,0,6,0,1,2,1,0,0.07,0.7
"154","CB-H-I","CB-L-M","FB-M-M",19,15,4,6,4,1,3,1,1,0.397368421052632,7.55
"155","CB-H-I","CB-L-M","FB-M-O",14,6,0,3,2,1,6,2,0,0.253571428571429,3.55
"156","CB-H-I","CB-L-M","SL-H-I",3,3,2,0,1,0,0,0,0,0,0
"157","CB-H-I","CB-L-M","SL-H-M",2,2,0,2,0,0,0,0,0,0,0
"158","CB-H-I","CB-L-M","SL-H-O",1,0,0,0,0,0,0,1,0,0.7,0.7
"159","CB-H-I","CB-L-M","SL-L-I",2,1,1,0,0,0,1,0,0,0,0
"160","CB-H-I","CB-L-M","SL-L-M",2,1,0,0,0,1,1,0,0,0,0
"161","CB-H-I","CB-L-M","SL-L-O",16,12,0,10,2,0,3,0,0,0.2125,3.4
"162","CB-H-I","CB-L-M","SL-M-M",1,1,0,1,0,0,0,0,0,0,0
"163","CB-H-I","CB-L-M","SL-M-O",5,1,0,1,0,0,4,0,0,0,0
"164","CB-H-I","CB-L-M",NA,90,90,19,46,20,5,0,0,1,0.287222222222222,25.85
"165","CB-H-I","CB-L-O","CB-H-I",16,8,4,3,1,0,8,0,1,0.2375,3.8
"166","CB-H-I","CB-L-O","CB-H-M",13,7,4,2,1,0,5,1,1,0.276923076923077,3.6
"167","CB-H-I","CB-L-O","CB-H-O",2,2,1,1,0,0,0,0,1,1,2
"168","CB-H-I","CB-L-O","CB-L-I",12,6,0,6,0,0,5,1,0,0.208333333333333,2.5
"169","CB-H-I","CB-L-O","CB-L-M",24,16,3,12,0,1,8,0,0,0.1875,4.5
"170","CB-H-I","CB-L-O","CB-L-O",77,31,7,16,7,1,38,8,1,0.212987012987013,16.4
"171","CB-H-I","CB-L-O","CB-M-I",5,3,0,2,1,0,2,0,0,0.18,0.9
"172","CB-H-I","CB-L-O","CB-M-M",14,10,3,4,3,0,4,0,1,0.271428571428571,3.8
"173","CB-H-I","CB-L-O","CB-M-O",16,13,3,10,0,0,3,0,0,0.246875,3.95
"174","CB-H-I","CB-L-O","CH-H-I",7,5,0,3,2,0,0,2,0,0.585714285714286,4.1
"175","CB-H-I","CB-L-O","CH-H-M",3,2,0,0,0,2,1,0,0,0,0
"176","CB-H-I","CB-L-O","CH-L-I",12,5,1,2,2,0,4,3,0,0.4,4.8
"177","CB-H-I","CB-L-O","CH-L-M",6,3,0,2,1,0,2,1,0,0.325,1.95
"178","CB-H-I","CB-L-O","CH-L-O",11,10,2,5,1,2,0,1,0,0.309090909090909,3.4
"179","CB-H-I","CB-L-O","CH-M-I",9,5,1,2,2,0,3,1,0,0.316666666666667,2.85
"180","CB-H-I","CB-L-O","CH-M-M",1,1,1,0,0,0,0,0,1,2,2
"181","CB-H-I","CB-L-O","CH-M-O",3,2,0,1,0,1,1,0,0,0,0
"182","CB-H-I","CB-L-O","FB-H-I",65,32,8,10,8,6,21,3,2,0.320769230769231,20.85
"183","CB-H-I","CB-L-O","FB-H-M",45,29,5,14,8,2,7,7,0,0.295555555555556,13.3
"184","CB-H-I","CB-L-O","FB-H-O",51,32,11,12,4,5,13,6,1,0.254901960784314,13
"185","CB-H-I","CB-L-O","FB-L-I",43,29,8,14,5,2,9,4,2,0.408139534883721,17.55
"186","CB-H-I","CB-L-O","FB-L-M",36,20,4,12,3,1,8,8,1,0.336111111111111,12.1
"187","CB-H-I","CB-L-O","FB-L-O",75,39,7,22,9,1,18,17,2,0.377333333333333,28.3
"188","CB-H-I","CB-L-O","FB-M-I",38,23,6,7,10,0,9,6,2,0.456578947368421,17.35
"189","CB-H-I","CB-L-O","FB-M-M",30,21,6,12,3,0,8,1,2,0.318333333333333,9.55
"190","CB-H-I","CB-L-O","FB-M-O",58,36,8,17,8,3,10,10,2,0.408620689655172,23.7
"191","CB-H-I","CB-L-O","SL-H-I",6,4,2,2,0,0,1,1,0,0.266666666666667,1.6
"192","CB-H-I","CB-L-O","SL-H-M",4,2,0,2,0,0,1,1,0,0.175,0.7
"193","CB-H-I","CB-L-O","SL-H-O",15,9,3,2,2,2,4,2,1,0.37,5.55
"194","CB-H-I","CB-L-O","SL-L-I",6,2,1,1,0,0,3,1,0,0.116666666666667,0.7
"195","CB-H-I","CB-L-O","SL-L-M",6,3,2,1,0,0,1,2,0,0.533333333333333,3.2
